id,created_at,updated_at,deleted_at,name,vehicle_make_id,vehicle_type_id,code,vehicle_utility_id
1050,2025-06-26 18:57:25,2025-07-03 12:28:05,,307,29,1,388,
1062,2025-06-26 18:57:25,2025-07-03 12:28:05,,405,29,1,389,
1064,2025-06-26 18:57:25,2025-07-03 12:28:05,,PANAMERA,30,1,405,
1065,2025-06-26 18:57:25,2025-07-03 12:28:05,,CARRERA,30,1,402,
1066,2025-06-26 18:57:25,2025-07-03 12:28:05,,CAYMAN,30,1,404,
1067,2025-06-26 18:57:25,2025-07-03 12:28:05,,CAYENNE,30,2,403,
1068,2025-06-26 18:57:25,2025-07-03 12:28:05,,BOXSTER,30,1,401,
1070,2025-06-26 18:57:25,2025-07-03 12:28:05,,911,30,1,400,
1075,2025-06-26 18:57:25,2025-07-03 12:28:05,,KOLEO,31,2,410,
1076,2025-06-26 18:57:25,2025-07-03 12:28:05,,MÉGANE,31,1,413,
1081,2025-06-26 18:57:25,2025-07-03 12:28:05,,KANGOO,31,5,409,
1087,2025-06-26 18:57:25,2025-07-03 12:28:05,,LOGAN,31,1,412,
1090,2025-06-26 18:57:25,2025-07-03 12:28:05,,SCENIC,31,6,414,
1092,2025-06-26 18:57:25,2025-07-03 12:28:05,,CLIO,31,1,408,
1098,2025-06-26 18:57:25,2025-07-03 12:28:05,,FORESTER,32,2,430,
1099,2025-06-26 18:57:25,2025-07-03 12:28:05,,OUTBACK,32,2,433,
1100,2025-06-26 18:57:25,2025-07-03 12:28:05,,LEGACY,32,1,432,
1102,2025-06-26 18:57:25,2025-07-03 12:28:05,,TRIBECA,32,2,434,
1103,2025-06-26 18:57:25,2025-07-03 12:28:05,,XV,32,2,435,
1104,2025-06-26 18:57:25,2025-07-03 12:28:05,,IMPREZA,32,1,431,
1107,2025-06-26 18:57:25,2025-07-03 12:28:05,,SAMBAR,32,5,679,
1112,2025-06-26 18:57:25,2025-07-03 12:28:05,,APV,33,10,437,
1115,2025-06-26 18:57:25,2025-07-03 12:28:05,,EQUATOR,33,4,440,
1116,2025-06-26 18:57:25,2025-07-03 12:28:05,,SWIFT,33,1,550,
1117,2025-06-26 18:57:25,2025-07-03 12:28:05,,SX 4,33,2,450,
1118,2025-06-26 18:57:25,2025-07-03 12:28:05,,JIMNY,33,2,445,
1119,2025-06-26 18:57:25,2025-07-03 12:28:05,,CIAZ,33,1,638,
